date,close,ROI,BBL_12_1.0,BBU_12_1.0,BBM_12_1.0,BBL_20_1.0,BBU_20_1.0,BBM_20_1.0,BBL_12_2.0,BBU_12_2.0,BBM_12_2.0,BBL_20_2.0,BBU_20_2.0,BBM_20_2.0,Entry_signal_long_3,Exit_signal_long_3,Entry_signal_short_3,Exit_signal_short_3
2021-04-19,13907.67,0.007123460276770022,13740.199851581408,13996.356815085264,13868.278333333335,13372.503832324983,13974.52816767503,13673.516000000007,13612.121369829478,14124.435296837193,13868.278333333335,13071.49166464996,14275.540335350051,13673.516000000007,0,0,0,0
2021-04-16,14041.91,0.00965222787138309,13821.672290064836,13997.757709935171,13909.715000000002,13401.808377022457,14010.102622977556,13705.955500000005,13733.629580129666,14085.800419870337,13909.715000000002,13097.661254044904,14314.249745955107,13705.955500000005,0,0,0,0
2021-04-15,14026.19,-0.0011195058222136511,13842.005863785696,14015.169136214308,13928.5875,13474.420331096388,14029.194668903623,13751.807500000004,13755.424227571391,14101.750772428612,13928.5875,13197.033162192769,14306.581837807242,13751.807500000004,0,0,0,0
2021-04-14,13803.91,-0.0158474967186385,13831.834803922984,14015.865196077017,13923.85,13577.97427125632,14005.868728743684,13791.921500000002,13739.819607845966,14107.880392154033,13923.85,13364.027042512636,14219.815957487368,13791.921500000002,0,0,0,0
2021-04-13,13986.49,0.013226687221229437,13832.329821099942,14018.083512233392,13925.206666666667,13632.673702823848,14014.691297176154,13823.6825,13739.45297553322,14110.960357800117,13925.206666666667,13441.664905647693,14205.700094352307,13823.6825,0,0,0,0
2021-04-12,13819.35,-0.011950103278234871,13820.662801828736,14016.038864837934,13918.350833333336,13689.957243955703,14003.434756044297,13846.696000000002,13722.974770324141,14113.726896342532,13918.350833333336,13533.218487911408,14160.173512088591,13846.696000000002,0,0,0,0
2021-04-09,13845.05,0.001859711202046421,13809.899997914106,14007.596668752563,13908.748333333335,13699.096899724003,14006.837100275994,13852.967,13711.051662494878,14106.445004171792,13908.748333333335,13545.226799448008,14160.70720055199,13852.967,0,0,0,0
2021-04-08,13758.5,-0.006251331703388541,13786.307138139593,13986.579528527076,13886.443333333335,13715.022149190183,14005.388850809817,13860.2055,13686.17094294585,14086.715723720818,13886.443333333335,13569.838798380371,14150.57220161963,13860.2055,0,0,0,0
2021-04-07,13616.7,-0.010306356070792557,13734.609634410503,13984.153698922832,13859.381666666668,13733.72234963904,13998.021650360959,13865.872,13609.83760215434,14108.925731178997,13859.381666666668,13601.572699278078,14130.171300721919,13865.872,0,0,0,1
2021-04-06,13578.46,-0.002808316258711807,13696.983966070648,13991.129367262683,13844.056666666665,13739.584339937632,13995.538660062373,13867.561500000002,13549.91126547463,14138.202067858701,13844.056666666665,13611.607179875264,14123.515820124741,13867.561500000002,0,0,0,0
2021-04-05,13598.16,0.001450827266125998,13656.247745589404,13975.700587743931,13815.974166666667,13716.597526349986,13998.369473650017,13857.483500000002,13496.521324512141,14135.42700882119,13815.974166666667,13575.711552699968,14139.255447300036,13857.483500000002,0,0,0,0
2021-04-01,13329.51,-0.01975634938844661,13563.205503675264,13988.777829658076,13775.991666666667,13647.135907113325,14014.70609288668,13830.921000000002,13350.419340683855,14201.563992649482,13775.991666666667,13463.350814226644,14198.491185773362,13830.921000000002,0,0,0,0
2021-03-31,13091.44,-0.01786037146151653,13422.919079292908,13993.025920707098,13707.972500000002,13543.047528599087,14030.917471400915,13786.982500000002,13137.865658585813,14278.079341414192,13707.972500000002,13299.112557198174,14274.852442801832,13786.982500000002,0,0,0,0
2021-03-30,12896.53,-0.014888354527844094,13264.620046634149,13960.428286699187,13612.524166666668,13423.860553869192,14049.595446130814,13736.728000000005,12916.715926601628,14308.33240673171,13612.524166666668,13110.993107738379,14362.462892261628,13736.728000000005,0,0,0,0
2021-03-29,12965.74,0.005366559842066021,13156.741311648166,13891.565355018502,13524.153333333335,13334.95239039437,14039.04960960563,13687.001,12789.329289962996,14258.977376703671,13524.153333333335,12982.903780788738,14391.098219211262,13687.001,0,0,0,0
2021-03-26,12979.12,0.0010319503553211096,13068.472963495591,13842.368703171069,13455.420833333332,13258.65359886772,14010.644401132282,13634.649,12681.525093657854,14229.31657300881,13455.420833333332,12882.658197735436,14386.639802264563,13634.649,0,0,0,0
2021-03-25,12780.51,-0.015302270107680703,12961.882323147243,13747.96267685276,13354.9225,13162.755141782098,13990.44985821791,13576.602500000005,12568.842146294484,14141.002853705515,13354.9225,12748.90778356419,14404.297216435816,13576.602500000005,0,0,0,0
2021-03-24,12798.88,0.0014373448320919024,12876.06786807228,13663.698798594385,13269.883333333333,13082.508113262473,13974.348886737534,13528.428500000005,12482.252402811233,14057.514263855437,13269.883333333333,12636.587726524942,14420.269273475069,13528.428500000005,0,0,0,0
2021-03-23,13017.79,0.01710384033602952,12846.531110458423,13555.35888954158,13200.945000000003,13033.508477137872,13931.61252286213,13482.5605,12492.117220916849,13909.772779083156,13200.945000000003,12584.456454275745,14380.66454572426,13482.5605,0,0,0,0
2021-03-22,13086.51,0.005278929833712143,12836.533746656565,13453.35792001011,13144.945833333335,12995.966101622129,13896.875898377875,13446.421000000002,12528.12165997979,13761.770006686886,13144.945833333335,12545.511203244252,14347.330796755752,13446.421000000002,1,0,0,0
2021-03-19,12866.99,-0.016774525828505915,12803.809753658878,13361.130246341123,13082.47,12939.92829394817,13848.845706051834,13394.387000000002,12525.149507317752,13639.79049268225,13082.47,12485.469587896341,14303.304412103667,13394.387000000002,0,0,0,0
2021-03-18,12789.14,-0.006050366091836622,12775.054152271514,13258.33251439516,13016.693333333335,12884.965386689168,13778.531613310844,13331.748500000005,12533.41497120969,13499.971695456985,13016.693333333335,12438.18227337833,14225.314726621682,13331.748500000005,0,0,0,0
2021-03-17,13202.38,0.032311789533932656,12811.6633114748,13155.76002185854,12983.71166666667,12874.230578085615,13706.885421914394,13290.558000000005,12639.61495628293,13327.808377050407,12983.71166666667,12457.903156171227,14123.212843828782,13290.558000000005,0,0,0,0
2021-03-16,13152.28,-0.0037947703368633725,12823.769168481862,13114.115831518144,12968.942500000005,12858.793032811593,13657.159967188423,13257.976500000008,12678.595836963721,13259.289163036285,12968.942500000005,12459.609565623176,14056.34343437684,13257.976500000008,0,0,0,0
2021-03-15,13082.54,-0.005302502683945276,12823.68898679425,13112.712679872422,12968.200833333334,12851.000415869084,13574.557584130927,13212.779000000004,12679.17714025516,13257.224526411508,12968.200833333334,12489.22183173816,13936.33616826185,13212.779000000004,0,0,0,0
2021-03-12,12937.29,-0.011102584054778377,12828.450806384097,13114.744193615914,12971.597500000005,12831.828740089142,13505.523259910871,13168.676000000007,12685.304112768184,13257.89088723182,12971.597500000005,12494.98148017828,13842.370519821736,13168.676000000007,0,0,0,0
2021-03-11,13052.9,0.008936183698440514,12833.839377587989,13123.882289078689,12978.860833333338,12831.6760898347,13426.460910165315,13129.068500000007,12688.81792184264,13268.903744824038,12978.860833333338,12534.283679669394,13723.853320330625,13129.068500000007,0,0,0,0
2021-03-10,12752.07,-0.02304698572730968,12800.82840719916,13119.051592800846,12959.940000000004,12809.664596712595,13347.829403287422,13078.747000000007,12641.716814398318,13278.16318560169,12959.940000000004,12540.582193425184,13616.911806574832,13078.747000000007,0,0,0,1
2021-03-09,12794.49,0.003326518753425933,12803.38148486273,13118.828515137275,12961.105000000005,12793.407465662558,13281.865534337456,13037.636500000008,12645.657969725456,13276.55203027455,12961.105000000005,12549.178431325112,13526.094568674906,13037.636500000008,0,0,0,0
2021-03-08,12299.08,-0.03872057424719544,12673.619271496034,13165.290728503967,12919.455000000002,12711.646650149165,13235.688349850854,12973.667500000007,12427.783542992072,13411.126457007933,12919.455000000002,12449.625800298318,13497.7091997017,12973.667500000007,0,0,0,0
