Date,Open,High,Low,Close
2021-01-27,13371.16,13393.51,13034.14,13112.65
2021-01-26,13507.47,13536.3,13440.32,13490.19
2021-01-25,13515.63,13563.7,13205.59,13483.29
2021-01-22,13356.18,13404.77,13336.9,13366.4
2021-01-21,13356.7,13433.69,13297.79,13404.99
2021-01-20,13155.12,13332.26,13138.3,13296.45
2021-01-19,12921.61,13012.09,12861.3,12996.54
2021-01-15,12898.09,12941.29,12758.1,12803.93
2021-01-14,13010.94,13037.05,12886.16,12898.69
2021-01-13,12911.87,13008.84,12878.02,12973.63
2021-01-12,12916.1,12957.43,12783.71,12892.09
2021-01-11,12961.5,13023.21,12883.59,12902.49
2021-01-08,13037.24,13113.09,12939.73,13105.2
2021-01-07,12745.41,12966.68,12744.82,12939.57
2021-01-06,12601.26,12803.29,12569.42,12623.35
2021-01-05,12663.13,12809.67,12663.13,12802.38
2021-01-04,12950.22,12950.22,12537.42,12694.66
2020-12-31,12852.96,12904.09,12804.75,12888.28
2020-12-30,12900.03,12917.46,12828.79,12845.36
2020-12-29,12909.86,12925.53,12816.59,12843.49
2020-12-28,12813.97,12861.91,12747.05,12838.86
2020-12-24,12668.19,12732.55,12665.8,12711.01
2020-12-23,12733.75,12737.59,12649.6,12653.14
2020-12-22,12715.48,12761.23,12606.42,12717.56
2020-12-21,12575.6,12706.44,12474.03,12690.26
2020-12-18,12786.92,12793.47,12611.22,12738.18
2020-12-17,12741.64,12760.97,12685.98,12752.06
2020-12-16,12607.87,12698.11,12568.71,12668.16
2020-12-15,12565.28,12596.84,12467.57,12595.92
2020-12-14,12427.86,12544.31,12426.25,12462.21
2020-12-11,12327.07,12378.61,12236.8,12375.41
2020-12-10,12268.47,12447.85,12226.13,12401.74
2020-12-09,12626.97,12643.24,12311.3,12364.64
2020-12-08,12574.84,12651.35,12504.97,12635.72
2020-12-07,12523.57,12610,12523.12,12596.47
2020-12-04,12479.91,12531.21,12450.51,12528.48
2020-12-03,12469.16,12538.92,12445.36,12467.13
2020-12-02,12390.58,12472.25,12318.27,12456.41
2020-12-01,12387.62,12510.02,12338.36,12455.33
2020-11-30,12278.78,12299.61,12090.93,12268.32
2020-11-27,12220.37,12306.71,12214.44,12258.21
2020-11-25,12112.11,12174.99,12081.51,12152.22
2020-11-24,11952.7,12094.16,11878.31,12079.81
2020-11-23,11959.89,12001.83,11817.53,11905.94
2020-11-20,11976,12017.42,11903.57,11906.44
2020-11-19,11863.12,12000.29,11842.67,11985.43
2020-11-18,11963.36,12027.15,11892.54,11894.71
2020-11-17,12030.27,12047.13,11964.2,11977.49
2020-11-16,11925.36,12035.5,11891.85,12013.38
2020-11-13,11910.62,11957.09,11808.95,11937.84
2020-11-12,11924.15,11976.89,11786.09,11827.14
2020-11-11,11734.81,11904.13,11714.32,11892.93
2020-11-10,11704.46,11761.95,11512.46,11624.29
2020-11-09,12194.71,12268.66,11818.24,11830.39
2020-11-06,12044.29,12116.91,11895.5,12091.35
2020-11-05,12021.77,12117.04,11977.07,12078.07
2020-11-04,11627.76,11846.46,11564.91,11777.02
2020-11-03,11155.84,11356.08,11115.55,11279.91
2020-11-02,11152.48,11222.52,10957.11,11084.76
2020-10-30,11265.7,11293.76,10960.02,11052.95
2020-10-29,11214.33,11467.37,11187.08,11350.74
2020-10-28,11400.48,11426.1,11136.1,11142.76
2020-10-27,11560.86,11633.49,11503.1,11598.95
2020-10-26,11584.17,11708.08,11360.73,11504.52
2020-10-23,11680.72,11693.01,11569.09,11692.57
2020-10-22,11712.64,11739.22,11529.73,11662.91
2020-10-21,11686.19,11789.46,11646.47,11665.37
2020-10-20,11679.08,11801.39,11613.76,11677.84
2020-10-19,11913.01,11962.46,11606.48,11634.35
2020-10-16,11952.12,12034.13,11824.14,11852.17
2020-10-15,11767.27,11928.63,11765.49,11898.57
2020-10-14,12105.1,12159.21,11913.57,11985.36
2020-10-13,12131.07,12187.78,12032.75,12083.17
2020-10-12,11900.12,12204.75,11880.23,12088.11
2020-10-09,11615.57,11727.6,11600.86,11725.85
2020-10-08,11576.44,11582.78,11510.24,11550.94
2020-10-07,11412.65,11519.55,11382.48,11503.19
2020-10-06,11476.67,11536.42,11256.26,11291.27
2020-10-05,11345.24,11512.06,11336.07,11509.06
2020-10-02,11328.85,11479.08,11225.17,11255.69
2020-10-01,11554.96,11606.73,11488.6,11583.2
2020-09-30,11328.55,11535.01,11328.55,11418.06
2020-09-29,11354.7,11396.22,11305.79,11322.95
2020-09-28,11332.32,11369.4,11243.24,11364.45
2020-09-25,10910.5,11177.73,10851.68,11151.13
2020-09-24,10746.35,11026.43,10728.41,10896.47
2020-09-23,11167.22,11179.59,10806.05,10833.33
2020-09-22,11082.09,11207.08,10943.26,11186.37
2020-09-21,10768.01,10984.76,10677.85,10980.22
2020-09-18,11147.8,11153.97,10769.4,10936.98
2020-09-17,10965.74,11160.04,10936.8,11080.95
2020-09-16,11467.9,11486.09,11242.96,11247.6
2020-09-15,11432.94,11495.4,11367.2,11438.87
2020-09-14,11250.8,11363.25,11192.82,11277.76
2020-09-11,11251.19,11280.41,10945.22,11087.4
2020-09-10,11501.43,11566.34,11095.94,11154.12
2020-09-09,11308.25,11480.37,11197.13,11395.85
2020-09-08,11143.91,11400.46,11055.16,11068.26
2020-09-04,11686.24,11846.18,11145.99,11622.13
2020-09-03,12195.75,12235,11662.11,11771.37
2020-09-02,12417.45,12439.48,12176.18,12420.54
2020-09-01,12203.36,12300.44,12132.78,12292.86
2020-08-31,12017.46,12167.46,12000.11,12110.7
2020-08-28,11992.68,12018.14,11928.69,11995.85
2020-08-27,11997.89,12047.99,11842.84,11926.16
2020-08-26,11779.35,11979.65,11768,11971.94
2020-08-25,11610.58,11723.95,11580.89,11721.81
2020-08-24,11703.34,11728.09,11535.55,11626.17
2020-08-21,11476.85,11574.79,11461.53,11555.16
2020-08-20,11277.05,11497.18,11268.46,11477.05
2020-08-19,11397.23,11440.22,11303.4,11318.64
2020-08-18,11339.76,11421.1,11279.08,11399.03
2020-08-17,11231.97,11306.47,11228.14,11288.57
2020-08-14,11187.82,11213.27,11106.93,11164.45
2020-08-13,11174.63,11271.22,11139.64,11178.37
2020-08-12,10972.07,11190.25,10970.87,11157.72
2020-08-11,11039.68,11090.92,10855.06,10876.08
2020-08-10,11153.51,11159.38,10941.87,11085.17
2020-08-07,11235.24,11276.3,11044.6,11139.39
2020-08-06,11116.49,11282.24,11090.5,11267.08
2020-08-05,11107.24,11141.69,11077.7,11125.44
2020-08-04,11048.5,11097.85,11002.55,11096.54
2020-08-03,11018.02,11085.5,10997.67,11055.08
2020-07-31,10886.36,10908.34,10707.4,10905.88
2020-07-30,10578.63,10737.03,10531.79,10715.51
2020-07-29,10602.4,10694.88,10587.2,10662.98
2020-07-28,10644.33,10662.19,10527.43,10532.5
2020-07-27,10547.11,10689.55,10527.64,10674.38
2020-07-24,10389.53,10543.42,10313.94,10483.13
2020-07-23,10853.16,10885.38,10531.21,10580.59
2020-07-22,10850.92,10910.24,10776.24,10870.75
2020-07-21,11015.54,11017.43,10800.87,10833.07
2020-07-20,10672.96,10971.52,10621.9,10952.08
2020-07-17,10651.59,10680.7,10558.78,10645.22
2020-07-16,10589.86,10658.9,10495.09,10626.46
2020-07-15,10752.11,10780.4,10570.96,10701.68
2020-07-14,10502.85,10701.88,10370.79,10689.52
2020-07-13,10951.54,11069.26,10574.56,10602.21
2020-07-10,10751.77,10842.78,10639.48,10836.33
2020-07-09,10745.87,10785.96,10574.97,10754.59
2020-07-08,10594.41,10669.13,10528.82,10666.7
2020-07-07,10595.94,10704.93,10516.63,10524.01
