,date,close,ROI,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50,Entry_signal_long_7,Exit_signal_long_7,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
76,2020-10-22,11662.91,-0.0002108805807274905,11705.769499930579,11710.34762522404,11671.060507695778,11630.319023861433,11415.7753336342,0,0,1,0,99000.0,0,0.08688806905168624,0
77,2020-10-23,11692.57,0.0025431045939650065,11701.369666620389,11707.115329728755,11673.74919423381,11636.247688255578,11426.630026432858,0,0,1,0,99000.0,0,0.08688806905168624,0
78,2020-10-26,11504.52,-0.016082862877878745,11635.75311108026,11670.27981523262,11652.595544954585,11623.702194136004,11429.6845352002,0,0,1,0,99000.0,0,0.08688806905168624,0
79,2020-10-27,11598.95,0.008208078216214165,11623.485407386841,11657.310757917598,11645.889851835258,11621.344842313529,11436.322396564898,0,0,1,0,99000.0,0,0.08688806905168624,0
80,2020-10-28,11142.76,-0.0393302842067601,11463.243604924563,11563.756074659852,11582.998620355853,11575.765333521762,11424.810145719217,0,1,0,0,99968.17290030637,968,0.0,0
81,2020-10-29,11350.74,0.018665034515685568,11425.742403283042,11525.02587926715,11553.96629281137,11554.334349376832,11421.905434122384,0,0,0,0,99968.17290030637,0,0.0,0
82,2020-10-30,11052.95,-0.02623529391035296,11301.478268855359,11439.19390121858,11491.339256209949,11506.58345895999,11407.436593568567,0,0,0,0,99968.17290030637,0,0.0,0
83,2020-11-02,11084.76,0.0028779647062548985,11229.238845903577,11374.751373724292,11440.516849183703,11466.409796201897,11394.782609507054,0,0,0,0,99968.17290030637,0,0.0,0
84,2020-11-03,11279.91,0.01760525261710666,11246.129230602382,11357.507487592602,11420.44099303574,11448.647910849337,11390.277801291091,0,0,0,0,99968.17290030637,0,0.0,0
85,2020-11-04,11777.02,0.044070387086421865,11423.092820401593,11433.78248984849,11465.013368906277,11479.921443149397,11405.444162024773,0,0,0,0,99968.17290030637,0,0.0,0
86,2020-11-05,12078.07,0.025562493737804504,11641.418546934394,11550.925673512402,11541.645447792993,11536.887972373264,11431.821645866941,1,0,1,0,98968.17290030637,-1000,0.08279468491240737,0
87,2020-11-06,12091.35,0.0010995134156368547,11791.395697956264,11649.184641964692,11610.358516818867,11589.693879766292,11457.685502891765,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
88,2020-11-09,11830.39,-0.021582370868430845,11804.39379863751,11682.131070698382,11637.862452216508,11612.617319788546,11472.301365523459,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
89,2020-11-10,11624.29,-0.017421234633853918,11744.359199091676,11671.614512389586,11636.165895689446,11613.729003618208,11478.261704130384,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
90,2020-11-11,11892.93,0.023110228667729386,11793.88279939445,11711.853691955117,11668.261408728264,11640.319574702187,11494.523205929192,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
91,2020-11-12,11827.14,-0.0055318580030321324,11804.968532929634,11732.814838872368,11688.121232637232,11658.111996159121,11507.567001775105,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
92,2020-11-13,11937.84,0.009359828327051293,11849.25902195309,11770.092140895571,11719.336078557575,11684.752758429682,11524.440452685883,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
93,2020-11-16,12013.38,0.006327777889467257,11903.966014635393,11814.326297096377,11756.09156873788,11716.050590960189,11543.614552580557,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
94,2020-11-17,11977.49,-0.002987502268304132,11928.474009756928,11843.992424897036,11783.766372645647,11740.949582297311,11560.629276008767,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
95,2020-11-18,11894.71,-0.006911297776078351,11917.219339837951,11853.213802188482,11797.634326064941,11755.593431602329,11573.730480871172,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
96,2020-11-19,11985.43,0.007626919866058123,11939.956226558636,11877.253110881484,11821.108785306824,11777.482628592583,11589.875560052695,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
97,2020-11-20,11906.44,-0.006590501967805862,11928.784151039092,11882.55981799394,11831.775187143467,11789.764283012339,11602.289851815336,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
98,2020-11-23,11905.94,-4.199408051441811e-05,11921.169434026062,11886.81076017686,11841.045788750536,11800.828637011164,11614.197700763754,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
99,2020-11-24,12079.81,0.01460363482429772,11974.049622684042,11921.901531053794,11870.891315156721,11827.398290629148,11632.457006616154,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
100,2020-11-25,12152.22,0.005994299579215268,12033.439748456029,11963.77761631674,11906.057400762129,11858.33369152161,11652.839869101797,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
101,2020-11-27,12258.21,0.008721863165742638,12108.36316563735,12017.31077698642,11950.07647566686,11896.417149471928,11676.579874235062,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
102,2020-11-30,12268.32,0.0008247533693745979,12161.682110424905,12062.948817534343,11989.856916208504,11931.836468569843,11699.7853693631,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
103,2020-12-01,12455.33,0.015243325899552797,12259.564740283271,12134.290850709916,12048.041051682441,11981.692995372714,11729.414570564548,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
104,2020-12-02,12456.41,8.670986637837608e-05,12325.179826855516,12192.857968762659,12099.087170222141,12026.904138670552,11757.924195248292,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
105,2020-12-03,12467.13,0.0008606010881144768,12372.496551237007,12242.72561080581,12145.092523944373,12068.830411178118,11785.7361875915,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
106,2020-12-04,12528.48,0.004920940104097715,12424.491034158007,12294.680954295662,12193.015958451324,12112.606562494488,11814.863395921246,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
107,2020-12-07,12596.47,0.005426835498001381,12481.817356105337,12349.551689878272,12243.44771364491,12158.688794637872,11845.514635296882,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
108,2020-12-08,12635.72,0.0031159523263264433,12533.118237403558,12401.582291718583,12292.481749439297,12204.12033800569,11876.503080971515,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
109,2020-12-09,12364.64,-0.02145346683845484,12476.958824935708,12394.865511406111,12301.501530759384,12219.407924862293,11895.645705247141,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
110,2020-12-10,12401.74,0.003000491724789445,12451.885883290472,12396.115418423182,12314.03133941446,12236.772884399215,11915.49254033549,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
111,2020-12-11,12375.41,-0.002123089179421611,12426.393922193647,12392.350796891691,12321.703671987654,12249.97641921834,11933.528519145864,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
112,2020-12-14,12462.21,0.007013909034124799,12438.332614795769,12405.052470184111,12339.266962989197,12270.189141197545,11954.261126238183,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
113,2020-12-15,12595.92,0.010729236628174377,12490.861743197178,12439.755657423362,12371.348592615546,12301.211127750159,11979.424219326887,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
114,2020-12-16,12668.16,0.005735190442619498,12549.961162131453,12481.283719710025,12408.450018538604,12336.158639393001,12006.43346562779,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
115,2020-12-17,12752.06,0.006622903405072211,12617.32744142097,12530.515770671836,12451.401266221279,12375.768292784143,12035.673721877683,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
116,2020-12-18,12738.18,-0.0010884515913506254,12657.61162761398,12568.272903276955,12487.24860794362,12410.283693471367,12063.222987686398,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
117,2020-12-21,12690.26,-0.003761918892651872,12668.494418409322,12590.452375408418,12512.625031950669,12436.94810361695,12087.812674443796,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
118,2020-12-22,12717.56,0.002151256160236148,12684.849612272881,12613.562852606887,12538.241902956834,12463.673046129625,12112.508647995019,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
119,2020-12-23,12653.14,-0.005065437080697843,12674.279741515254,12620.758697587451,12552.604165087228,12481.717517926802,12133.709877485413,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
120,2020-12-24,12711.01,0.004573568300042519,12686.523161010171,12637.168025298823,12572.404894451323,12503.554897171867,12156.34909797618,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
121,2020-12-28,12838.86,0.010058209379113059,12737.302107340114,12673.839293426308,12605.71178264491,12535.488716488833,12183.11423138888,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
