date,close,ROI,BBL_12_1.0,BBU_12_1.0,BBM_12_1.0,BBL_20_1.0,BBU_20_1.0,BBM_20_1.0,BBL_12_2.0,BBU_12_2.0,BBM_12_2.0,BBL_20_2.0,BBU_20_2.0,BBM_20_2.0
2020-10-05,11509.06,0.01928835286021857,11481.40705274747,11985.239613919215,11733.323333333343,11342.867311697393,11904.197688302624,11623.532500000008,11229.4907721616,12237.155894505086,11733.323333333343,11062.202123394778,12184.862876605239,11623.532500000008
2020-10-06,11291.27,-0.01842271578579513,11503.194243831009,11989.504089502343,11746.349166666676,11297.543525115263,11907.091474884754,11602.317500000008,11260.039320995342,12232.65901233801,11746.349166666676,10992.769550230518,12211.865449769499,11602.317500000008
2020-10-07,11503.19,-0.00413386269862015,11577.609641858222,11977.028691475132,11777.319166666677,11296.355368469354,11907.143631530664,11601.749500000009,11377.900117049769,12176.738216283586,11777.319166666677,10990.9612369387,12212.537763061318,11601.749500000009
2020-10-08,11550.94,-0.014916615853008519,11610.252230661028,11975.949436005661,11793.100833333345,11308.563468660559,11922.31853133946,11615.44100000001,11427.403627988713,12158.798038677976,11793.100833333345,11001.68593732111,12229.19606267891,11615.44100000001
2020-10-09,11725.85,-0.029968291155523907,11600.40184315138,11978.063156848642,11789.232500000011,11318.551262070672,11965.043737929347,11641.79750000001,11411.57118630275,12166.893813697272,11789.232500000011,10995.305024141337,12288.289975858683,11641.79750000001
2020-10-12,12088.11,0.0004088331125027267,11582.541739281374,11974.773260718646,11778.65750000001,11321.839662774562,11998.305337225456,11660.07250000001,11386.42597856274,12170.88902143728,11778.65750000001,10983.606825549117,12336.538174450901,11660.07250000001
2020-10-13,12083.17,0.008160789496518994,11455.448346487061,11944.308320179625,11699.878333333343,11321.44050912482,11972.9324908752,11647.18650000001,11211.018359640777,12188.73830702591,11699.878333333343,10995.694518249631,12298.67848175039,11647.18650000001
2020-10-14,11985.36,0.00729415383529286,11407.741026454343,11869.943973545673,11638.842500000008,11315.08297248831,11933.402027511713,11624.242500000011,11176.639552908677,12101.04544709134,11638.842500000008,11005.923444976608,12242.561555023414,11624.242500000011
2020-10-15,11898.57,0.003914894909539779,11302.081580346494,11820.20175298686,11561.141666666677,11315.493895842717,11923.748104157303,11619.62100000001,11043.02149402631,12079.261839307044,11561.141666666677,11011.366791685427,12227.875208314594,11619.62100000001
2020-10-16,11852.17,0.018722146058868683,11224.298236167331,11762.350097166025,11493.324166666678,11314.96644687575,11917.132553124271,11616.04950000001,10955.272305667982,12031.376027665374,11493.324166666678,11013.883393751488,12218.215606248532,11616.04950000001
2020-10-19,11634.35,-0.00372414761633999,11195.979776674396,11695.29188999229,11445.635833333343,11315.132603313115,11925.533396686904,11620.33300000001,10946.323720015449,11944.947946651237,11445.635833333343,11009.932206626223,12230.733793373796,11620.33300000001
2020-10-20,11677.84,0.0010689759518986985,11194.999535486257,11720.05046451376,11457.525000000009,11321.65308157078,11956.915918429238,11639.284500000009,10932.474070972503,11982.575929027515,11457.525000000009,11004.021663141551,12274.547336858466,11639.284500000009
2020-10-21,11665.37,0.0002109250607267299,11177.348533464543,11804.406466535476,11490.87750000001,11327.777573313879,11980.75642668614,11654.267000000009,10863.819566929076,12117.935433070943,11490.87750000001,11001.288146627749,12307.24585337227,11654.267000000009
2020-10-22,11662.91,-0.002536653618494422,11170.094209270756,11882.657457395933,11526.375833333344,11334.83639404734,11996.631605952676,11665.734000000008,10813.812585208165,12238.939081458524,11526.375833333344,11003.938788094672,12327.529211905343,11665.734000000008
