date,close,ROI,RSI_2,RSI_6,RSI_14,Entry_signal_long_7,Exit_signal_long_7,Entry_signal_short_7,Exit_signal_short_7
2020-11-16,12013.38,0.002996454181969588,74.0783886671657,39.93520182963013,34.87265221035554,0,0,0,0
2020-11-13,11937.84,-0.00628798889238491,32.4399412319886,33.0225984029371,32.52466621095796,0,0,0,0
2020-11-12,11827.14,-0.009273034317766049,12.253429245047732,25.31640805497443,29.400588217519783,0,0,0,0
2020-11-11,11892.93,0.0055626296805484365,49.56065349189961,35.972301981738134,33.48939746778566,0,0,0,0
2020-11-10,11624.29,-0.02258820997012501,11.081963295026199,21.17103645449973,26.69162956209572,0,0,0,0
2020-11-09,11830.39,0.01773011512961209,59.42221469979249,42.828180751666274,37.22023146972436,0,0,0,0
2020-11-06,12091.35,0.022058444396169552,82.92696673263845,59.665398876118964,47.50145975502025,0,0,0,0
2020-11-05,12078.07,-0.0010983058136602164,78.3101813059226,58.611315003111436,47.07892672843811,0,0,0,0
2020-11-04,11777.02,-0.02492533989288015,22.22103808518163,39.58646785456725,38.67933871874892,0,0,0,0
2020-11-03,11279.91,-0.04221016861650917,6.602794186709382,24.091326586186515,29.36324202368888,0,0,0,0
2020-11-02,11084.76,-0.017300669952153847,4.254813789940868,20.34064053073858,26.649635017439252,0,1,1,0
2020-10-30,11052.95,-0.002869705794261601,3.812799980017517,19.739518139612674,26.224207944237772,0,0,0,0
2020-10-29,11350.74,0.026942128572010168,67.3394130629367,39.74396397747007,36.45169530897311,0,0,0,0
2020-10-28,11142.76,-0.018323034445331232,35.02648028720924,32.87641289374282,33.009825442180876,0,0,0,0
2020-10-27,11598.95,0.04094048512217796,79.07484914483989,53.8611295424568,45.22657068876542,0,0,0,0
2020-10-26,11504.52,-0.008141254165247691,61.74516594531666,49.979904301424924,43.45979664538932,0,0,0,0
2020-10-23,11692.57,0.016345749322874692,79.57413108158602,57.32808918699999,47.83050674272751,0,0,0,0
2020-10-22,11662.91,-0.0025366536184944217,69.37484765744622,55.77723282412815,47.21061368408697,0,0,0,0
2020-10-21,11665.37,0.0002109250607267299,70.01242526365824,55.895981146097576,47.27165228881225,0,0,0,0
2020-10-20,11677.84,0.0010689759518986985,75.23867361801574,56.60480095188573,47.60239134363211,0,0,0,0
2020-10-19,11634.35,-0.00372414761633999,33.95812961077417,53.03746017701581,46.50675853984613,0,0,0,0
2020-10-16,11852.17,0.018722146058868683,89.83337468567295,65.93893039522226,52.414287534339934,0,0,0,0
2020-10-15,11898.57,0.003914894909539779,92.52703691178075,68.17390434021704,53.590058886609505,0,0,0,0
