,date,close,ROI,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,Entry_signal_long_1,Exit_signal_long_1,Entry_signal_short_1,Exit_signal_short_1,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
2223,2021-03-05 10:00,1697.35,0.0017232929999999999,-2.152550773,1.227666806,-3.380217579,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2224,2021-03-05 11:00,1697.31,-2.36e-05,-1.747510149,1.306165944,-3.053676093,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2225,2021-03-05 12:00,1702.95,0.003322905,-0.685208493,1.89477408,-2.579982573,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2226,2021-03-05 13:00,1698.92,-0.002366482,-0.44943543399999997,1.704437711,-2.153873145,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2227,2021-03-05 14:00,1699.15,0.00013538,-0.24344568600000002,1.5283419669999998,-1.771787653,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2228,2021-03-05 15:00,1698.19,-0.000564988,-0.218938881,1.242279018,-1.461217899,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2229,2021-03-05 16:00,1700.64,0.001442713,0.124529343,1.2685977929999999,-1.14406845,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2230,2021-03-07 17:00,1702.87,0.0013112710000000001,0.657698201,1.441413321,-0.78371512,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2231,2021-03-07 18:00,1707.59,0.0027717909999999996,1.64119743,1.93993004,-0.29873261,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2232,2021-03-07 19:00,1706.93,-0.00038651,2.216778755,2.012409092,0.204369663,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2233,2021-03-07 20:00,1713.36,0.0037669970000000002,3.423315475,2.575156649,0.848158825,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2234,2021-03-07 21:00,1709.26,-0.002392959,3.6688805189999996,2.256577355,1.412303164,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2235,2021-03-07 22:00,1705.83,-0.002006716,3.31798953,1.524549093,1.7934404369999999,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2236,2021-03-07 23:00,1707.79,0.001149001,3.2602284360000002,1.1734303990000001,2.086798037,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2237,2021-03-08 0:00,1707.89,5.8599999999999995e-05,3.166655371,0.863885867,2.302769504,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2238,2021-03-08 1:00,1704.55,-0.001955629,2.597933904,0.23613152,2.361802384,0,0,0,0,1,0,98948.87235270455,0,0.589257829763413,0
2239,2021-03-08 2:00,1699.2,-0.003138658,1.440798848,-0.736802829,2.1776016769999997,0,1,1,0,0,0,99950.13925703854,1001,0.0,0
2240,2021-03-08 3:00,1696.43,-0.001630179,0.22977812399999997,-1.5582588419999999,1.788036966,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2241,2021-03-08 4:00,1690.36,-0.003578102,-1.428211844,-2.5729990480000002,1.144787204,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2242,2021-03-08 5:00,1692.82,0.0014553110000000001,-2.248644916,-2.714745696,0.46610078,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2243,2021-03-08 6:00,1685.63,-0.004247351,-3.727463352,-3.354851306,-0.37261204600000003,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2244,2021-03-08 7:00,1690.84,0.003090833,-4.013648846000001,-2.912829439,-1.1008194059999998,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2245,2021-03-08 8:00,1693.84,0.001774266,-3.7409790160000003,-2.112127688,-1.628851328,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2246,2021-03-08 9:00,1687.08,-0.003990932,-4.3602836,-2.185145818,-2.1751377830000003,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2247,2021-03-08 10:00,1681.85,-0.0031000309999999996,-5.39685687,-2.57737527,-2.8194816,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2248,2021-03-08 11:00,1679.96,-0.001123763,-6.268941872,-2.759568217,-3.5093736539999996,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2249,2021-03-08 12:00,1680.85,0.000529775,-6.642053653,-2.506143999,-4.135909654,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2250,2021-03-08 13:00,1680.51,-0.000202279,-6.816333627000001,-2.144339178,-4.671994449,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2251,2021-03-08 14:00,1685.14,0.0027551159999999997,-6.193878384,-1.217507148,-4.976371236,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2252,2021-03-08 15:00,1680.59,-0.002700072,-6.226104406,-0.9997865359999999,-5.22631787,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2253,2021-03-08 16:00,1683.54,0.0017553360000000001,-5.735736857999999,-0.40753519,-5.328201667,0,0,0,0,0,0,99950.13925703854,0,0.0,0
2254,2021-03-08 17:00,1683.38,-9.499999999999999e-05,-5.294148958,0.027242167999999997,-5.321391125,1,0,0,1,1,0,98950.13925703854,-1000,0.5940429374235169,0
2255,2021-03-08 18:00,1684.73,0.0008019580000000001,-4.697689858,0.498961014,-5.196650872,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2256,2021-03-08 19:00,1684.73,0.0,-4.181048275,0.8124820779999999,-4.993530353,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2257,2021-03-08 20:00,1683.48,-0.0007419589999999999,-3.895421938,0.878486732,-4.77390867,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2258,2021-03-08 21:00,1687.62,0.0024591920000000002,-3.0711321660000004,1.362221203,-4.433353369,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2259,2021-03-08 22:00,1689.52,0.001125846,-2.17676299,1.8052723030000002,-3.982035293,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2260,2021-03-08 23:00,1687.78,-0.0010298780000000001,-1.728890583,1.8025157680000001,-3.531406351,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2261,2021-03-09 0:00,1688.97,0.000705068,-1.221023415,1.848306349,-3.069329764,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2262,2021-03-09 1:00,1692.91,0.0023327829999999997,-0.31988454,2.199556179,-2.519440719,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2263,2021-03-09 2:00,1697.09,0.002469121,0.8726355640000001,2.713661026,-1.841025462,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2264,2021-03-09 3:00,1702.88,0.0034117220000000003,2.458505626,3.4396248710000004,-0.981119245,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2265,2021-03-09 4:00,1702.9,1.17e-05,3.532787375,3.6111252960000004,-0.07833792099999999,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2266,2021-03-09 5:00,1702.91,5.87e-06,4.22232422,3.440529712,0.7817945070000001,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2267,2021-03-09 6:00,1709.06,0.003611465,5.432151802999999,3.7202858360000004,1.711865966,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2268,2021-03-09 7:00,1703.2,-0.003428785,5.408350057000001,2.957187273,2.451162785,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2269,2021-03-09 8:00,1713.6,0.0061061530000000004,6.647917509,3.3574037789999998,3.2905137289999997,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2270,2021-03-09 9:00,1718.1,0.00262605,7.98098707,3.752378673,4.228608398,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2271,2021-03-09 10:00,1713.26,-0.002817065,8.12677389,3.118532394,5.008241496,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2272,2021-03-09 11:00,1715.49,0.001301612,8.358506512,2.6802120130000002,5.678294499,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2273,2021-03-09 12:00,1716.81,0.0007694589999999999,8.526832477000001,2.2788303819999998,6.248002095,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2274,2021-03-09 13:00,1716.34,-0.000273764,8.411874422999999,1.731097862,6.680776561,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2275,2021-03-09 14:00,1717.12,0.000454455,8.263078335,1.26584142,6.997236916,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2276,2021-03-09 15:00,1716.08,-0.000605665,7.8543724479999995,0.6857084259999999,7.168664022000001,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2277,2021-03-09 16:00,1716.1,1.17e-05,7.40934056,0.19254123,7.21679933,0,0,0,0,1,0,98950.13925703854,0,0.5940429374235169,0
2278,2021-03-09 17:00,1716.3,0.000116543,6.971250526,-0.196439043,7.167689569,0,1,1,0,0,0,99969.69515053852,1019,0.0,0
2279,2021-03-09 18:00,1715.89,-0.00023888599999999998,6.466818169,-0.56069712,7.027515289,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2280,2021-03-09 19:00,1715.35,-0.000314705,5.908596942999999,-0.895134677,6.80373162,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2281,2021-03-09 20:00,1713.78,-0.000915265,5.188367855,-1.292291012,6.480658867000001,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2282,2021-03-09 21:00,1713.5,-0.000163382,4.537531775,-1.554501673,6.092033448,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2283,2021-03-09 22:00,1712.72,-0.00045520900000000004,3.883253097,-1.7670242809999999,5.650277377999999,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2284,2021-03-09 23:00,1713.18,0.000268579,3.402586293,-1.798152868,5.200739161,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2285,2021-03-10 0:00,1713.06,-7e-05,2.978224183,-1.778011983,4.756236165,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2286,2021-03-10 1:00,1715.04,0.001155826,2.87800402,-1.502585716,4.380589736,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2287,2021-03-10 2:00,1715.49,0.000262385,2.808090693,-1.257999235,4.066089928,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2288,2021-03-10 3:00,1714.73,-0.00044302199999999995,2.602129943,-1.1711679879999999,3.773297931,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2289,2021-03-10 4:00,1714.41,-0.000186618,2.361912645,-1.129108228,3.4910208739999997,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2290,2021-03-10 5:00,1711.19,-0.001878197,1.721518341,-1.415602026,3.137120367,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2291,2021-03-10 6:00,1711.71,0.000303882,1.302218968,-1.467921119,2.7701400869999997,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2292,2021-03-10 7:00,1712.5,0.000461527,1.083174584,-1.349572403,2.432746987,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2293,2021-03-10 8:00,1720.24,0.004519708,1.9227760369999998,-0.40797676,2.3307527969999997,0,0,0,0,0,0,99969.69515053852,0,0.0,0
