,date,close,ROI,RSI_14,Entry_signal_long_6,Exit_signal_long_6,Entry_signal_short_6,Exit_signal_short_6,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
831,2020-12-10 17:00,1837.09,0.00028313599999999997,47.52440713,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
832,2020-12-10 18:00,1836.97,-6.53e-05,47.38643502,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
833,2020-12-10 19:00,1837.05,4.35e-05,47.49587134,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
834,2020-12-10 20:00,1840.18,0.0017038189999999999,51.72655951,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
835,2020-12-10 21:00,1838.37,-0.000983599,49.25491474,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
836,2020-12-10 22:00,1837.26,-0.000603796,47.74810746,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
837,2020-12-10 23:00,1837.68,0.000228601,48.39144784,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
838,2020-12-11 0:00,1834.8,-0.001567193,44.35832199,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
839,2020-12-11 1:00,1834.93,7.09e-05,44.58284092,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
840,2020-12-11 2:00,1834.04,-0.000485032,43.29482834,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
841,2020-12-11 3:00,1831.99,-0.0011177510000000002,40.39963019,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
842,2020-12-11 4:00,1837.01,0.00274019,49.33451599,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
843,2020-12-11 5:00,1831.98,-0.002738145,42.46508179,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
844,2020-12-11 6:00,1833.03,0.00057315,44.21139288,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
845,2020-12-11 7:00,1834.37,0.00073103,46.44541245,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
846,2020-12-11 8:00,1839.87,0.002998305,54.49924558,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
847,2020-12-11 9:00,1840.85,0.000532646,55.77544199,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
848,2020-12-11 10:00,1844.63,0.002053399,60.39022899,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
849,2020-12-11 11:00,1842.48,-0.001165545,56.76213739,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
850,2020-12-11 12:00,1842.06,-0.00022795400000000002,56.05368407,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
851,2020-12-11 13:00,1840.66,-0.0007600189999999999,53.64995618,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
852,2020-12-11 14:00,1838.82,-0.0009996410000000001,50.57998494,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
853,2020-12-11 15:00,1839.22,0.00021753099999999997,51.23328885,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
854,2020-12-11 16:00,1839.85,0.00034253699999999996,52.30276433,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
855,2020-12-13 18:00,1837.76,-0.001135962,48.50259653,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
856,2020-12-13 19:00,1835.7,-0.00112093,45.02976713,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
857,2020-12-13 20:00,1835.46,-0.00013074,44.62884245,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
858,2020-12-13 21:00,1837.2,0.000947991,48.22784396,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
859,2020-12-13 22:00,1836.51,-0.00037557199999999996,46.92530694,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
860,2020-12-13 23:00,1835.82,-0.000375713,45.59903506,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
861,2020-12-14 0:00,1834.36,-0.000795285,42.839963399999995,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
862,2020-12-14 1:00,1833.72,-0.00034889599999999996,41.65026495,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
863,2020-12-14 2:00,1833.1,-0.000338111,40.47753435,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
864,2020-12-14 3:00,1828.22,-0.002662157,32.67828858,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
865,2020-12-14 4:00,1829.02,0.00043758400000000003,34.89301945,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
866,2020-12-14 5:00,1824.39,-0.00253141,28.95586846,0,1,0,0,0,0,99957.13572581962,0,0.0,0.0
867,2020-12-14 6:00,1827.44,0.001671792,36.60792296,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
868,2020-12-14 7:00,1824.35,-0.00169089,32.75832912,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
869,2020-12-14 8:00,1832.85,0.004659194,48.72994158,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
870,2020-12-14 9:00,1833.7,0.000463759,50.00870251,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
871,2020-12-14 10:00,1826.5,-0.003926487,40.73954999,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
872,2020-12-14 11:00,1825.6,-0.000492746,39.74779993,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
873,2020-12-14 12:00,1828.91,0.001813103,45.04630187,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
874,2020-12-14 13:00,1827.75,-0.0006342580000000001,43.59928294,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
875,2020-12-14 14:00,1825.4,-0.001285734,40.74385168,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
876,2020-12-14 15:00,1828.52,0.001709214,45.81752624,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
877,2020-12-14 16:00,1827.35,-0.0006398619999999999,44.28618012,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
878,2020-12-14 17:00,1828.4,0.000574603,46.02953579,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
879,2020-12-14 18:00,1827.48,-0.000503172,44.70943983,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
880,2020-12-14 19:00,1826.81,-0.000366625,43.72592797,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
881,2020-12-14 20:00,1829.71,0.0015874670000000002,48.95955428,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
882,2020-12-14 21:00,1832.52,0.0015357620000000002,53.47474533,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
883,2020-12-14 22:00,1834.08,0.0008512869999999999,55.81181061,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
884,2020-12-14 23:00,1835.82,0.000948705,58.32632004,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
885,2020-12-15 0:00,1838.83,0.0016395939999999999,62.32072032,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
886,2020-12-15 1:00,1840.22,0.000755915,64.03507953,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
887,2020-12-15 2:00,1843.01,0.0015161229999999999,67.25549395,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
888,2020-12-15 3:00,1845.16,0.00116657,69.52045179999999,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
889,2020-12-15 4:00,1845.69,0.000287238,70.07005554,0,0,0,1,0,0,99957.13572581962,0,0.0,0.0
890,2020-12-15 5:00,1846.35,0.00035759,70.77673528,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
891,2020-12-15 6:00,1845.91,-0.00023830799999999998,69.59695698,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
892,2020-12-15 7:00,1843.45,-0.001332676,63.24904408,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
