,date,close,ROI,RSI_14,Entry_signal_long_6,Exit_signal_long_6,Entry_signal_short_6,Exit_signal_short_6,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
78,2020-10-26,11504.52,-0.016082863,47.69399325,0,0,0,0,0,0,100000.0,0,0,0
79,2020-10-27,11598.95,0.008208078,50.44980007,0,0,0,0,0,0,100000.0,0,0,0
80,2020-10-28,11142.76,-0.039330284,39.5962519,0,0,0,0,0,0,100000.0,0,0,0
81,2020-10-29,11350.74,0.018665035,45.36694852,0,0,0,0,0,0,100000.0,0,0,0
82,2020-10-30,11052.95,-0.026235294,39.541951899999994,0,0,0,0,0,0,100000.0,0,0,0
83,2020-11-02,11084.76,0.002877965,40.42194781,0,0,0,0,0,0,100000.0,0,0,0
84,2020-11-03,11279.91,0.017605253,45.64863552,0,0,0,0,0,0,100000.0,0,0,0
85,2020-11-04,11777.02,0.044070387,56.19166902,0,0,0,0,0,0,100000.0,0,0,0
86,2020-11-05,12078.07,0.025562493999999998,61.11146942,0,0,0,0,0,0,100000.0,0,0,0
87,2020-11-06,12091.35,0.001099513,61.31783898,0,0,0,0,0,0,100000.0,0,0,0
88,2020-11-09,11830.39,-0.021582371,55.1270064,0,0,0,0,0,0,100000.0,0,0,0
89,2020-11-10,11624.29,-0.017421235,50.76750547,0,0,0,0,0,0,100000.0,0,0,0
90,2020-11-11,11892.93,0.023110229,55.68659633,0,0,0,0,0,0,100000.0,0,0,0
91,2020-11-12,11827.14,-0.005531858000000001,54.25684205,0,0,0,0,0,0,100000.0,0,0,0
92,2020-11-13,11937.84,0.009359828,56.29041535,0,0,0,0,0,0,100000.0,0,0,0
93,2020-11-16,12013.38,0.006327778,57.67322656,0,0,0,0,0,0,100000.0,0,0,0
94,2020-11-17,11977.49,-0.002987502,56.75453871,0,0,0,0,0,0,100000.0,0,0,0
95,2020-11-18,11894.71,-0.006911298000000001,54.59441517,0,0,0,0,0,0,100000.0,0,0,0
96,2020-11-19,11985.43,0.00762692,56.54635535,0,0,0,0,0,0,100000.0,0,0,0
97,2020-11-20,11906.44,-0.006590502,54.35530226,0,0,0,0,0,0,100000.0,0,0,0
98,2020-11-23,11905.94,-4.2e-05,54.34094875,0,0,0,0,0,0,100000.0,0,0,0
99,2020-11-24,12079.81,0.014603635,58.44987051,0,0,0,0,0,0,100000.0,0,0,0
100,2020-11-25,12152.22,0.0059943,60.06180718,0,0,0,0,0,0,100000.0,0,0,0
101,2020-11-27,12258.21,0.008721863,62.36344251,0,0,0,0,0,0,100000.0,0,0,0
102,2020-11-30,12268.32,0.000824753,62.58493832,0,0,0,0,0,0,100000.0,0,0,0
103,2020-12-01,12455.33,0.015243326000000001,66.51099226,0,0,0,0,0,0,100000.0,0,0,0
104,2020-12-02,12456.41,8.669999999999999e-05,66.53283325,0,0,0,0,0,0,100000.0,0,0,0
105,2020-12-03,12467.13,0.000860601,66.76453406,0,0,0,0,0,0,100000.0,0,0,0
106,2020-12-04,12528.48,0.00492094,68.12462629999999,0,0,0,0,0,0,100000.0,0,0,0
107,2020-12-07,12596.47,0.005426835,69.60894618,0,0,0,0,0,0,100000.0,0,0,0
108,2020-12-08,12635.72,0.003115952,70.46401866,0,0,0,0,0,0,100000.0,0,0,0
109,2020-12-09,12364.64,-0.021453467,58.27005035,0,1,1,0,0,0,100000.0,0,0,0
110,2020-12-10,12401.74,0.003000492,59.30793363,0,0,0,0,0,0,100000.0,0,0,0
111,2020-12-11,12375.41,-0.002123089,58.20157226,0,0,0,0,0,0,100000.0,0,0,0
112,2020-12-14,12462.21,0.0070139090000000005,60.79783035,0,0,0,0,0,0,100000.0,0,0,0
113,2020-12-15,12595.92,0.010729236999999999,64.45996735,0,0,0,0,0,0,100000.0,0,0,0
114,2020-12-16,12668.16,0.00573519,66.29209119,0,0,0,0,0,0,100000.0,0,0,0
115,2020-12-17,12752.06,0.006622903,68.33383559,0,0,0,0,0,0,100000.0,0,0,0
116,2020-12-18,12738.18,-0.001088452,67.60428406,0,0,0,0,0,0,100000.0,0,0,0
117,2020-12-21,12690.26,-0.0037619190000000003,65.02320923,0,0,0,0,0,0,100000.0,0,0,0
118,2020-12-22,12717.56,0.0021512560000000003,65.82374613,0,0,0,0,0,0,100000.0,0,0,0
119,2020-12-23,12653.14,-0.005065437,62.20569814,0,0,0,0,0,0,100000.0,0,0,0
120,2020-12-24,12711.01,0.004573568,64.1139464,0,0,0,0,0,0,100000.0,0,0,0
121,2020-12-28,12838.86,0.010058209,67.96251235,0,0,0,0,0,0,100000.0,0,0,0
122,2020-12-29,12843.49,0.00036062400000000004,68.09595171,0,0,0,0,0,0,100000.0,0,0,0
123,2020-12-30,12845.36,0.000145599,68.1536457,0,0,0,0,0,0,100000.0,0,0,0
124,2020-12-31,12888.28,0.0033412840000000004,69.51620846,0,0,0,0,0,0,100000.0,0,0,0
125,2021-01-04,12694.66,-0.015022951000000001,57.55317616,0,0,0,0,0,0,100000.0,0,0,0
126,2021-01-05,12802.38,0.008485458000000001,61.52064723,0,0,0,0,0,0,100000.0,0,0,0
127,2021-01-06,12623.35,-0.013984119,52.70360287,0,0,0,0,0,0,100000.0,0,0,0
128,2021-01-07,12939.57,0.025050403,62.83527743,0,0,0,0,0,0,100000.0,0,0,0
129,2021-01-08,13105.2,0.012800271,66.84188952,0,0,0,0,0,0,100000.0,0,0,0
130,2021-01-11,12902.49,-0.015467906000000002,58.52587611,0,0,0,0,0,0,100000.0,0,0,0
131,2021-01-12,12892.09,-0.000806046,58.12631601,0,0,0,0,0,0,100000.0,0,0,0
132,2021-01-13,12973.63,0.006324808,60.40853747,0,0,0,0,0,0,100000.0,0,0,0
133,2021-01-14,12898.69,-0.0057763319999999995,57.31664056,0,0,0,0,0,0,100000.0,0,0,0
134,2021-01-15,12803.93,-0.007346482,53.58205756,0,0,0,0,0,0,100000.0,0,0,0
135,2021-01-19,12996.54,0.015043038,59.37609759,0,0,0,0,0,0,100000.0,0,0,0
136,2021-01-20,13296.45,0.023076142,66.4074033,0,0,0,0,0,0,100000.0,0,0,0
137,2021-01-21,13404.99,0.008163080999999999,68.53030749,0,0,0,0,0,0,100000.0,0,0,0
138,2021-01-22,13366.4,-0.002878779,66.91127426,0,0,0,0,0,0,100000.0,0,0,0
139,2021-01-25,13483.29,0.008745062,69.27881929,0,0,0,0,0,0,100000.0,0,0,0
140,2021-01-26,13490.19,0.000511745,69.41792392,0,0,0,0,0,0,100000.0,0,0,0
141,2021-01-27,13112.65,-0.027986262999999997,54.79741955,0,1,1,0,0,0,100000.0,0,0,0
142,2021-01-28,13201.53,0.006778187,57.08874965,0,0,0,0,0,0,100000.0,0,0,0
143,2021-01-29,12925.38,-0.02091803,48.81009492,0,0,0,0,0,0,100000.0,0,0,0
144,2021-02-01,13248.9,0.025029825,56.72717838,0,0,0,0,0,0,100000.0,0,0,0
145,2021-02-02,13456.12,0.015640544,60.89863765,0,0,0,0,0,0,100000.0,0,0,0
146,2021-02-03,13402.37,-0.003994465,59.30175922,0,0,0,0,0,0,100000.0,0,0,0
147,2021-02-04,13560.89,0.011827758999999998,62.43063558,0,0,0,0,0,0,100000.0,0,0,0
148,2021-02-05,13603.96,0.003176045,63.25716984,0,0,0,0,0,0,100000.0,0,0,0
149,2021-02-08,13695.02,0.006693639,65.00987923,0,0,0,0,0,0,100000.0,0,0,0
150,2021-02-09,13687.08,-0.000579773,64.71997591,0,0,0,0,0,0,100000.0,0,0,0
151,2021-02-10,13655.27,-0.00232409,63.49827854,0,0,0,0,0,0,100000.0,0,0,0
152,2021-02-11,13734.35,0.0057911709999999995,65.25423924,0,0,0,0,0,0,100000.0,0,0,0
153,2021-02-12,13807.7,0.005340624,66.84732151,0,0,0,0,0,0,100000.0,0,0,0
154,2021-02-16,13773.77,-0.002457325,65.35459269,0,0,0,0,0,0,100000.0,0,0,0
