date,close,ROI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Entry_signal_long_4,Exit_signal_long_4,Entry_signal_short_4,Exit_signal_short_4
2021-03-23 13:00,1727.96,0.00054429,-2.068092934,-1.216761173,-0.851331761,0,0,0,0
2021-03-23 14:00,1727.18,-0.000451399,-2.376266444,-1.219947747,-1.156318698,0,0,0,0
2021-03-23 15:00,1727.54,0.000208432,-2.561915019,-1.124477057,-1.437437962,0,0,0,0
2021-03-23 16:00,1727.07,-0.000272063,-2.715663446,-1.022580387,-1.693083059,0,0,0,0
2021-03-23 17:00,1727.29,0.000127383,-2.787624026,-0.875632774,-1.911991252,0,0,0,0
2021-03-23 18:00,1727.01,-0.000162104,-2.834571785,-0.738064426,-2.096507359,0,0,0,0
2021-03-23 19:00,1727.39,0.000220033,-2.808738014,-0.569784525,-2.23895349,0,0,0,0
2021-03-23 20:00,1727.88,0.000283665,-2.717401151,-0.382758129,-2.334643022,0,0,0,0
2021-03-23 21:00,1730.5,0.001516309,-2.405870548,-0.05698202,-2.348888527,0,0,0,0
2021-03-23 22:00,1732.21,0.000988154,-1.997966279,0.280737798,-2.278704078,1,0,0,1
2021-03-23 23:00,1731.89,-0.000184735,-1.681141382,0.478050157,-2.159191539,0,0,0,0
2021-03-24 0:00,1733.45,0.00090075,-1.289313997,0.695902034,-1.98521603,0,0,0,0
2021-03-24 1:00,1731.46,-0.001148,-1.126380131,0.68706872,-1.81344885,0,0,0,0
2021-03-24 2:00,1731.06,-0.000231019,-1.017797983,0.636520694,-1.654318677,0,0,0,0
2021-03-24 3:00,1729.14,-0.001109147,-1.074290056,0.464022897,-1.538312953,0,0,0,0
2021-03-24 4:00,1731.24,0.001214477,-0.938786238,0.479621372,-1.41840761,0,0,0,0
2021-03-24 5:00,1734.68,0.001987015,-0.547507905,0.696719764,-1.244227669,0,0,0,0
2021-03-24 6:00,1731.65,-0.00174672,-0.476420801,0.614245494,-1.090666295,0,0,0,0
2021-03-24 7:00,1730.07,-0.000912425,-0.541336367,0.439463943,-0.98080031,0,0,0,0
2021-03-24 8:00,1732.22,0.001242724,-0.414517093,0.453026573,-0.867543666,0,0,0,0
2021-03-24 9:00,1730.32,-0.001096858,-0.462000373,0.324434634,-0.786435008,0,0,0,0
2021-03-24 10:00,1732.54,0.001283,-0.316843395,0.37567329,-0.692516685,0,0,0,0
2021-03-24 11:00,1733.93,0.00080229,-0.088622476,0.483115367,-0.571737843,0,0,0,0
2021-03-24 12:00,1734.32,0.000224923,0.122304141,0.555233588,-0.432929446,0,0,0,0
2021-03-24 13:00,1735.18,0.000495872,0.354770247,0.630159755,-0.275389508,0,0,0,0
2021-03-24 14:00,1734.56,-0.000357312,0.483400157,0.607031731,-0.123631575,0,0,0,0
2021-03-24 15:00,1733.55,-0.00058228,0.498099941,0.497385213,0.000714728,0,0,0,0
2021-03-24 16:00,1734.69,0.00065761,0.594880685,0.475332765,0.11954792,0,0,0,0
2021-03-24 17:00,1734.56,-7.49E-05,0.653556417,0.427206797,0.226349619,0,0,0,0
2021-03-24 18:00,1734.16,-0.000230606,0.660170663,0.347056835,0.313113828,0,0,0,0
2021-03-24 19:00,1734.61,0.000259492,0.693726888,0.304490448,0.38923644,0,0,0,0
2021-03-24 20:00,1733.83,-0.000449669,0.649889437,0.208522397,0.441367039,0,0,0,0
2021-03-24 21:00,1733.15,-0.000392195,0.553892693,0.090020523,0.46387217,0,0,0,0
2021-03-24 22:00,1735.43,0.001315524,0.654249744,0.152302059,0.501947685,0,0,0,0
2021-03-24 23:00,1735.43,0,0.725421225,0.178778832,0.546642393,0,0,0,0
2021-03-25 0:00,1735.61,0.000103721,0.787274423,0.192505624,0.594768799,0,0,0,0
2021-03-25 1:00,1734.04,-0.000904581,0.701520952,0.085401723,0.616119229,0,0,0,0
2021-03-25 2:00,1733.73,-0.000178773,0.601611299,-0.011606345,0.613217643,0,1,1,0
2021-03-25 3:00,1733.19,-0.000311467,0.473401613,-0.111852825,0.585254437,0,0,0,0
2021-03-25 4:00,1732.2,-0.000571201,0.288583179,-0.237337006,0.525920186,0,0,0,0
2021-03-25 5:00,1732.21,5.77E-06,0.141291436,-0.307703,0.448994436,0,0,0,0
2021-03-25 6:00,1731.44,-0.000444519,-0.037142738,-0.388909739,0.351767001,0,0,0,0
2021-03-25 7:00,1728.3,-0.001813519,-0.427002644,-0.623015716,0.196013072,0,0,0,0
2021-03-25 8:00,1729.65,0.000781114,-0.619890005,-0.652722461,0.032832456,0,0,0,0
2021-03-25 9:00,1739.07,0.005446189,-0.012495316,-0.036262218,0.023766902,0,0,0,0
2021-03-25 10:00,1737.02,-0.001178791,0.299993347,0.220981156,0.079012191,1,0,0,1
2021-03-25 11:00,1730.9,-0.003523275,0.053196792,-0.020652319,0.073849111,0,1,0,0
2021-03-25 12:00,1728.13,-0.001600324,-0.361737225,-0.348469069,-0.013268156,0,0,0,0
2021-03-25 13:00,1727.51,-0.000358769,-0.732164307,-0.575116921,-0.157047386,0,0,0,0
2021-03-25 14:00,1730.72,0.001858166,-0.757972827,-0.480740352,-0.277232474,0,0,0,0
2021-03-25 15:00,1726.97,-0.002166728,-1.068700609,-0.633174508,-0.435526101,0,0,0,0
2021-03-25 16:00,1726.93,-2.32E-05,-1.30316026,-0.694107327,-0.609052933,0,0,0,0
2021-03-25 17:00,1727.1,9.84E-05,-1.458441637,-0.679510963,-0.778930674,0,0,0,0
2021-03-25 18:00,1728.03,0.000538475,-1.489292383,-0.568289367,-0.921003016,0,0,0,0
2021-03-25 19:00,1727.4,-0.000364577,-1.546747613,-0.500595678,-1.046151935,0,0,0,0
2021-03-25 20:00,1728.35,0.000549959,-1.498352165,-0.361760184,-1.136591981,0,0,0,0
2021-03-25 21:00,1728.64,0.00016779,-1.420226362,-0.226907505,-1.193318857,0,0,0,0
2021-03-25 22:00,1724.03,-0.002666836,-1.710581059,-0.413809762,-1.296771298,0,0,0,0
2021-03-25 23:00,1724.98,0.000551034,-1.842789656,-0.436814687,-1.405974969,0,0,0,0
2021-03-26 0:00,1726.48,0.000869575,-1.805713318,-0.319790679,-1.485922639,0,0,0,0
2021-03-26 1:00,1728.2,0.000996247,-1.618878999,-0.106365088,-1.512513911,0,0,0,0
2021-03-26 2:00,1728.43,0.000133086,-1.435702493,0.061449135,-1.497151627,1,0,0,1
2021-03-26 3:00,1727.5,-0.000538061,-1.350014888,0.117709392,-1.467724279,0,0,0,0
2021-03-26 4:00,1727.87,0.000214182,-1.23798027,0.183795208,-1.421775478,0,0,0,0
2021-03-26 5:00,1730.31,0.001412143,-0.941451948,0.384258824,-1.325710772,0,0,0,0
2021-03-26 6:00,1725.81,-0.00260069,-1.05737475,0.214668817,-1.272043567,0,0,0,0
2021-03-26 7:00,1725.03,-0.000451962,-1.198369826,0.058938993,-1.257308819,0,0,0,0
2021-03-26 8:00,1724.84,-0.000110143,-1.310336113,-0.042421835,-1.267914278,0,1,1,0
2021-03-26 9:00,1728.95,0.00238283,-1.055263134,0.170120915,-1.225384049,0,0,0,1
2021-03-26 10:00,1731.43,0.001434397,-0.645559083,0.463859973,-1.109419056,0,0,0,0
2021-03-26 11:00,1734.2,0.001599834,-0.096240422,0.810542907,-0.906783329,0,0,0,0
