,date,close,ROI,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50,Entry_signal_short_5,Exit_signal_short_5,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
1005,2020-12-22 01:00:00,1870.08,-0.003187531315629544,1876.128794221581,1877.817136618004,1878.8176130010745,1879.6518043774875,1880.5277092546162,0,0,0,-1,101019.85017751576,0,0,0.5318102288379415
1006,2020-12-22 02:00:00,1869.74,-0.000181810403832916,1873.9991961477206,1876.3485663238207,1877.68291137594,1878.7078230082031,1880.1046618328664,0,0,0,-1,101019.85017751576,0,0,0.5318102288379415
1007,2020-12-22 03:00:00,1871.35,0.0008610822895160907,1873.1161307651473,1875.4397360831265,1876.891297453948,1878.0070779598025,1879.7613417609887,0,0,0,-1,101019.85017751576,0,0,0.5318102288379415
1008,2020-12-22 04:00:00,1872.15,0.0004274988644561439,1872.794087176765,1874.8416022498307,1876.298635272204,1877.4492610112493,1879.4628577703625,0,0,0,-1,101019.85017751576,0,0,0.5318102288379415
1009,2020-12-22 05:00:00,1872.84,0.00036856021152131824,1872.8093914511767,1874.4776745680426,1875.8663058631787,1877.0102837720835,1879.2031378577994,0,0,0,-1,101019.85017751576,0,0,0.5318102288379415
1010,2020-12-22 06:00:00,1872.43,-0.00021891886119473905,1872.6829276341186,1874.105370101126,1875.4367676302813,1876.5740662699798,1878.9375246084744,0,0,0,-1,101019.85017751576,0,0,0.5318102288379415
1011,2020-12-22 07:00:00,1872.73,0.000160219607675538,1872.6986184227453,1873.8553028100118,1875.098421676496,1876.207964720458,1878.6940922708868,0,0,0,-1,101019.85017751576,0,0,0.5318102288379415
1012,2020-12-22 08:00:00,1878.88,0.003283975800035366,1874.759078948497,1874.7688841172824,1875.571118966934,1876.4624442708907,1878.701382770068,0,1,0,0,100020.64257475673,-999,0,0.0
1013,2020-12-22 09:00:00,1874.39,-0.002389721536234401,1874.6360526323315,1874.6999960959586,1875.4234790960672,1876.265068626044,1878.5323089359479,1,0,0,-1,101020.64257475673,1000,0,0.5335069009117632
1014,2020-12-22 10:00:00,1861.85,-0.006690176537433645,1870.374035088221,1872.3636331694204,1873.7267942090589,1874.892204947373,1877.8781007423806,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1015,2020-12-22 11:00:00,1865.15,0.0017724306469373285,1868.6326900588144,1871.052063502253,1872.6546949329265,1873.9643759047665,1877.3789595367969,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1016,2020-12-22 12:00:00,1867.77,0.0014047127576870544,1868.3451267058765,1870.4553246836613,1872.0441080663104,1873.374435342408,1877.0021375941776,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
