,date,close,ROI,BB_Lower,BB_Upper,BB_Middle,Entry_signal_long_3,Exit_signal_long_3,Entry_signal_short_3,Exit_signal_short_3,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
50,2020-09-16,11247.6,-0.016721057,11227.60105,12020.42295,11624.011999999999,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
51,2020-09-17,11080.95,-0.014816494,11202.72932,12021.525679999999,11612.1275,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
52,2020-09-18,10936.98,-0.012992568000000001,11149.38355,12020.86445,11585.124,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
53,2020-09-21,10980.22,0.003953559000000001,11100.07561,12012.678390000001,11556.377,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
54,2020-09-22,11186.37,0.018774669,11071.08244,11997.69156,11534.386999999999,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
55,2020-09-23,10833.33,-0.031559836,11003.555390000001,11976.37061,11489.963,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
56,2020-09-24,10896.47,0.005828309,10946.433640000001,11925.94536,11436.1895,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
57,2020-09-25,11151.13,0.023370871,10917.93665,11876.93935,11397.438,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
58,2020-09-28,11364.45,0.019129900000000002,10907.52043,11824.21557,11365.868,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
59,2020-09-29,11322.95,-0.003651739,10902.98582,11749.97518,11326.4805,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
60,2020-09-30,11418.06,0.008399754,10924.09973,11641.38127,11282.7405,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
61,2020-10-01,11583.2,0.014463051999999999,10989.09329,11492.653709999999,11240.8735,0,1,0,0,0,0,100042.06054632223,0,0.0,0.0
62,2020-10-02,11255.69,-0.02827457,10996.24458,11433.93442,11215.0895,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
63,2020-10-05,11509.06,0.022510392999999997,11000.41997,11418.45203,11209.436000000002,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
64,2020-10-06,11291.27,-0.018923353,11013.5592,11427.6138,11220.5865,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
65,2020-10-07,11503.19,0.018768482,11012.84158,11439.06542,11225.9535,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
66,2020-10-08,11550.94,0.004151022,11021.54135,11470.04765,11245.7945,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
67,2020-10-09,11725.85,0.015142491000000001,11032.71608,11522.717920000001,11277.716999999999,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
68,2020-10-12,12088.11,0.030894136000000003,11013.50105,11622.96795,11318.2345,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
69,2020-10-13,12083.17,-0.00040866599999999997,11001.45061,11699.448390000001,11350.4495,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
70,2020-10-14,11985.36,-0.00809473,11011.80117,11762.87383,11387.3375,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
71,2020-10-15,11898.57,-0.007241334,11043.40253,11813.03447,11428.2185,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
72,2020-10-16,11852.17,-0.003899628,11096.30337,11851.65263,11473.978000000001,0,0,0,0,0,0,100042.06054632223,0,0.0,0.0
73,2020-10-19,11634.35,-0.018378069,11146.08177,11867.28723,11506.6845,0,0,1,0,0,-1,101042.06054632223,1000,0.0,0.08595237378968314
74,2020-10-20,11677.84,0.003738069,11176.94117,11885.57483,11531.258,0,0,0,0,0,-1,101042.06054632223,0,0.0,0.08595237378968314
75,2020-10-21,11665.37,-0.001067834,11258.17252,11887.54748,11572.86,0,0,0,0,0,-1,101042.06054632223,0,0.0,0.08595237378968314
76,2020-10-22,11662.91,-0.00021088099999999998,11339.465240000001,11882.89876,11611.181999999999,0,0,0,0,0,-1,101042.06054632223,0,0.0,0.08595237378968314
77,2020-10-23,11692.57,0.002543105,11388.71882,11887.78918,11638.253999999999,0,0,0,0,0,-1,101042.06054632223,0,0.0,0.08595237378968314
78,2020-10-26,11504.52,-0.016082863,11401.92283,11888.59217,11645.2575,0,0,0,0,0,-1,101042.06054632223,0,0.0,0.08595237378968314
79,2020-10-27,11598.95,0.008208078,11427.41838,11890.69662,11659.0575,0,0,0,0,0,-1,101042.06054632223,0,0.0,0.08595237378968314
80,2020-10-28,11142.76,-0.039330284,11391.46177,11899.12323,11645.2925,0,0,0,1,0,0,100084.3138737535,-957,0.0,0.0
81,2020-10-29,11350.74,0.018665035,11371.65558,11895.683420000001,11633.6695,0,0,0,0,0,0,100084.3138737535,0,0.0,0.0
82,2020-10-30,11052.95,-0.026235294,11342.86731,11904.19769,11623.5325,0,0,0,0,0,0,100084.3138737535,0,0.0,0.0
83,2020-11-02,11084.76,0.002877965,11297.543529999999,11907.09147,11602.3175,0,0,0,0,0,0,100084.3138737535,0,0.0,0.0
84,2020-11-03,11279.91,0.017605253,11296.355370000001,11907.14363,11601.7495,0,0,0,0,0,0,100084.3138737535,0,0.0,0.0
85,2020-11-04,11777.02,0.044070387,11308.563470000001,11922.31853,11615.441,1,0,0,0,1,0,99084.3138737535,-1000,0.08491112352700428,0.0
86,2020-11-05,12078.07,0.025562493999999998,11318.55126,11965.043740000001,11641.7975,0,1,0,0,0,0,100109.8763674913,1025,0.0,0.0
87,2020-11-06,12091.35,0.001099513,11321.83966,11998.30534,11660.0725,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
88,2020-11-09,11830.39,-0.021582371,11321.440509999999,11972.932490000001,11647.1865,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
89,2020-11-10,11624.29,-0.017421235,11315.08297,11933.40203,11624.2425,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
90,2020-11-11,11892.93,0.023110229,11315.4939,11923.7481,11619.621000000001,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
91,2020-11-12,11827.14,-0.005531858000000001,11314.96645,11917.13255,11616.0495,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
92,2020-11-13,11937.84,0.009359828,11315.1326,11925.5334,11620.333,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
93,2020-11-16,12013.38,0.006327778,11321.65308,11956.91592,11639.2845,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
94,2020-11-17,11977.49,-0.002987502,11327.77757,11980.75643,11654.267,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
95,2020-11-18,11894.71,-0.006911298000000001,11334.83639,11996.631609999999,11665.733999999999,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
96,2020-11-19,11985.43,0.00762692,11343.33628,12020.38372,11681.86,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
97,2020-11-20,11906.44,-0.006590502,11350.3161,12034.7909,11692.5535,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
98,2020-11-23,11905.94,-4.2e-05,11370.2241,12055.0249,11712.6245,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
99,2020-11-24,12079.81,0.014603635,11385.889070000001,12087.44593,11736.6675,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
100,2020-11-25,12152.22,0.0059943,11454.14201,12120.138990000001,11787.1405,0,1,0,0,0,0,100109.8763674913,0,0.0,0.0
101,2020-11-27,12258.21,0.008721863,11500.28406,12164.74394,11832.514,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
102,2020-11-30,12268.32,0.000824753,11602.59289,12183.972109999999,11893.2825,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
103,2020-12-01,12455.33,0.015243326000000001,11713.26002,12210.36198,11961.811000000002,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
104,2020-12-02,12456.41,8.669999999999999e-05,11804.9113,12236.3607,12020.636,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
105,2020-12-03,12467.13,0.000860601,11825.679740000001,12284.60326,12055.1415,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
106,2020-12-04,12528.48,0.00492094,11824.910670000001,12330.41333,12077.662,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
107,2020-12-07,12596.47,0.005426835,11824.76634,12381.06966,12102.918,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
108,2020-12-08,12635.72,0.003115952,11848.74684,12437.622159999999,12143.1845,0,0,0,0,0,0,100109.8763674913,0,0.0,0.0
109,2020-12-09,12364.64,-0.021453467,11908.79608,12451.60792,12180.202,0,0,1,0,0,-1,101109.8763674913,1000,0.0,0.0808757877301725
110,2020-12-10,12401.74,0.003000492,11938.77255,12472.51245,12205.6425,0,0,0,0,0,-1,101109.8763674913,0,0.0,0.0808757877301725
111,2020-12-11,12375.41,-0.002123089,11979.274220000001,12486.83778,12233.056,0,0,0,0,0,-1,101109.8763674913,0,0.0,0.0808757877301725
